n.感觉，触摸；vi.觉得，摸索；vt.感觉，认为，触摸,feel,[fi:l],http://sound.yywz123.com/qsbdcword/f/feel.mp3
n.谈话，会谈，讲话；v.说话，谈话，讨论,talk,[tɔ:k],http://sound.yywz123.com/qsbdcword/t/talk.mp3
n.鼻子,nose,[nəʊz],http://sound.yywz123.com/qsbdcword/n/nose.mp3
n.水果,fruit,[fru:t],http://sound.yywz123.com/qsbdcword/f/fruit.mp3
n.老师,teacher,[ˈti:tʃə(r)],http://sound.yywz123.com/qsbdcword/t/teacher.mp3
v.是（be的第三人称单数现在时）,is,[ɪz],http://sound.yywz123.com/qsbdcword/i/is.mp3
n.味道；v.尝起来,taste,[teɪst],http://sound.yywz123.com/qsbdcword/t/taste.mp3
vt.谢谢，感谢；n.感谢,thank,[θæŋk],http://sound.yywz123.com/qsbdcword/t/thank.mp3
n.脚趾,toe,[təʊ],http://sound.yywz123.com/qsbdcword/t/toe.mp3
pron.它,it,[ɪt],http://sound.yywz123.com/qsbdcword/i/it.mp3
prep.（表示方向）到，向；（表示间接关系）给；离；对于；为了；adv.（表示方向）去；（门）关上,to,[tə],http://sound.yywz123.com/qsbdcword/t/to.mp3
n.触觉，触摸；v.触摸；感动；轻击,touch,[tʌtʃ],http://sound.yywz123.com/qsbdcword/t/touch.mp3
n.袋，包，钱包，背包,bag,[bæg],http://sound.yywz123.com/qsbdcword/b/bag.mp3
n.汽车，小汽车，轿车,car,[kɑ:(r)],http://sound.yywz123.com/qsbdcword/c/car.mp3
n.狗，犬，犬科动物,dog,[dɒg],http://sound.yywz123.com/qsbdcword/d/dog.mp3
art.一（个）；每一（个）,a,[ə],http://sound.yywz123.com/qsbdcword/a/a.mp3
v.是（be的第一人称单数现在时）,am,[əm],http://sound.yywz123.com/qsbdcword/a/am.mp3
n.手臂，扶手；v.武装,arm,[ɑ:m],http://sound.yywz123.com/qsbdcword/a/arm.mp3
art.一（个，件…）；(不定冠词，在元音前),an,[ən],http://sound.yywz123.com/qsbdcword/a/an.mp3
prep.向，朝着,at,[ət],http://sound.yywz123.com/qsbdcword/a/at.mp3
n.兄弟；同事；同胞,brother,[ˈbrʌðə(r)],http://sound.yywz123.com/qsbdcword/b/brother.mp3
n.球，球状物；舞会,ball,[bɔ:l],http://sound.yywz123.com/qsbdcword/b/ball.mp3
num.五；pron./adj.五（个，只...）,five,[faɪv],http://sound.yywz123.com/qsbdcword/f/five.mp3
conj.和，与，而且；那么；接连，又,and,[ənd],http://sound.yywz123.com/qsbdcword/a/and.mp3
num.四；pron./adj.四（个，只...）,four,[fɔ:(r)],http://sound.yywz123.com/qsbdcword/f/four.mp3
v.是（be的第二人称单数和各人称的复数形式）,are,[ɑ:(r)],http://sound.yywz123.com/qsbdcword/a/are.mp3
vt.给；递给；给予；付出,give,[gɪv],http://sound.yywz123.com/qsbdcword/g/give.mp3
n.许多人，许多；adj.许多的；pron.许多人或物,many,[ˈmeni],http://sound.yywz123.com/qsbdcword/m/many.mp3
aux.能，会；可以；可能；n.罐头,can,[kæn],http://sound.yywz123.com/qsbdcword/c/can.mp3
n.书，书籍；vt.订（票，座位，房间等），预定,book,[bʊk],http://sound.yywz123.com/qsbdcword/b/book.mp3
n.跳舞，舞蹈，舞会；vt.跳舞；vi.跳舞,dance,[dɑ:ns],http://sound.yywz123.com/qsbdcword/d/dance.mp3
pron.我（I的宾语）,me,[mi],http://sound.yywz123.com/qsbdcword/m/me.mp3
num.十三，十三个,thirteen,[ˌθɜ:ˈti:n],http://sound.yywz123.com/qsbdcword/t/thirteen.mp3
多谢。,Thanks.,[θæŋks],http://sound.yywz123.com/qsbdcword/T/Thanks..mp3
adv.在那儿；往那儿；作引导词表示,there,[ðeə(r)],http://sound.yywz123.com/qsbdcword/t/there.mp3
adj.高的,tall,[tɔ:l],http://sound.yywz123.com/qsbdcword/t/tall.mp3
n. 想；想法；vi. 想；认为；vt. 想；认为；想起；,think,[θɪŋk],http://sound.yywz123.com/qsbdcword/t/think.mp3
pron.谁；…的人,who,[hu:],http://sound.yywz123.com/qsbdcword/w/who.mp3
adj.黄（色）的；n.黄（色）,yellow,[ˈjeləʊ],http://sound.yywz123.com/qsbdcword/y/yellow.mp3
n.妇女，女人，女性,woman,[ˈwʊmən],http://sound.yywz123.com/qsbdcword/w/woman.mp3
adj.白色的；苍白的；白种的；n.白色；白种人,white,[waɪt],http://sound.yywz123.com/qsbdcword/w/white.mp3
pron.他们；她们；它们,they,[ðeɪ],http://sound.yywz123.com/qsbdcword/t/they.mp3
pron./adj.这些（this的复数）,these,[ði:z],http://sound.yywz123.com/qsbdcword/t/these.mp3
n.星星；明星；v.担任主角，主演,star,[stɑ:(r)],http://sound.yywz123.com/qsbdcword/s/star.mp3
vt.有，具有；体会，经受；从事；使；吃，喝,have,[həv],http://sound.yywz123.com/qsbdcword/h/have.mp3
n.工作，劳动,work,[wɜ:k],http://sound.yywz123.com/qsbdcword/w/work.mp3
n.风筝,kite,[kaɪt],http://sound.yywz123.com/qsbdcword/k/kite.mp3
n.鞋；（马）蹄铁,shoe,[ʃu:],http://sound.yywz123.com/qsbdcword/s/shoe.mp3
pron.他（她、它）们的（they的所有格）,their,[ðeə(r)],http://sound.yywz123.com/qsbdcword/t/their.mp3
n.公鸡,rooster,[ˈru:stə(r)],http://sound.yywz123.com/qsbdcword/r/rooster.mp3
vt. 游戏；扮演；vi.玩，做游戏；参加比赛；n.游戏；玩耍；剧本,play,[pleɪ],http://sound.yywz123.com/qsbdcword/p/play.mp3
num.十四，十四个,fourteen,[ˌfɔ:ˈti:n],http://sound.yywz123.com/qsbdcword/f/fourteen.mp3
n.动物园,zoo,[zu:],http://sound.yywz123.com/qsbdcword/z/zoo.mp3
n.自行车；vi.骑自行车,bike,[baɪk],http://sound.yywz123.com/qsbdcword/b/bike.mp3
n.小船；艇；小轮船,boat,[bəʊt],http://sound.yywz123.com/qsbdcword/b/boat.mp3
n.鸟，禽类,bird,[bɜ:d],http://sound.yywz123.com/qsbdcword/b/bird.mp3
n.盒子；箱子,box,[bɒks],http://sound.yywz123.com/qsbdcword/b/box.mp3
n.猫,cat,[kæt],http://sound.yywz123.com/qsbdcword/c/cat.mp3
n.帽子，便帽；帽状物,cap,[kæp],http://sound.yywz123.com/qsbdcword/c/cap.mp3
n.饼，糕，蛋糕，点心,cake,[keɪk],http://sound.yywz123.com/qsbdcword/c/cake.mp3
n.鱼；鱼肉；vi.钓鱼；vt.钓鱼，捕鱼,fish,[fɪʃ],http://sound.yywz123.com/qsbdcword/f/fish.mp3
n.猪，小猪，野猪,pig,[pɪg],http://sound.yywz123.com/qsbdcword/p/pig.mp3
n.香蕉；芭蕉属植物,banana,[bəˈnɑ:nə],http://sound.yywz123.com/qsbdcword/b/banana.mp3
n.班级；阶级；vt.分类,class,[klɑ:s],http://sound.yywz123.com/qsbdcword/c/class.mp3
n.鸭；vi. 闪避；没入水；vt. 躲避；猛按…入水,duck,[dʌk],http://sound.yywz123.com/qsbdcword/d/duck.mp3
n.年级；等级；vt.给...分等级,grade,[greɪd],http://sound.yywz123.com/qsbdcword/g/grade.mp3
adv.多少；怎样；多么,how,[haʊ],http://sound.yywz123.com/qsbdcword/h/how.mp3
n.腿；旅程的一段,leg,[leg],http://sound.yywz123.com/qsbdcword/l/leg.mp3
n.名字(称/声/义)；vt.给...取名；列举；提名,name,[neɪm],http://sound.yywz123.com/qsbdcword/n/name.mp3
n.铅笔,pencil,[ˈpensl],http://sound.yywz123.com/qsbdcword/p/pencil.mp3
adj.红色的；n.红色,red,[red],http://sound.yywz123.com/qsbdcword/r/red.mp3
n.轮船；vt.把...装上船；运送,ship,[ʃɪp],http://sound.yywz123.com/qsbdcword/s/ship.mp3
n.手表；vt.看，注视，照顾；vi.观看，注视；守侯,watch,[wɒtʃ],http://sound.yywz123.com/qsbdcword/w/watch.mp3
int.欢迎；adj.受欢迎的；vt./n.欢迎，迎接,welcome,[ˈwelkəm],http://sound.yywz123.com/qsbdcword/w/welcome.mp3
int.谢谢；n.谢谢（只用复数）,thanks,[θæŋks],http://sound.yywz123.com/qsbdcword/t/thanks.mp3
pron.谁的,whose,[hu:z],http://sound.yywz123.com/qsbdcword/w/whose.mp3
vt.希望；但愿；祝；vi. 愿望；需要；n.愿望，希望；pl.祝愿,wish,[wɪʃ],http://sound.yywz123.com/qsbdcword/w/wish.mp3
n.年，年度，学年；adj./adv.每年，一年一次,year,[jɪə(r)],http://sound.yywz123.com/qsbdcword/y/year.mp3
n.非洲,Africa,['æfrɪkə],http://sound.yywz123.com/qsbdcword/A/Africa.mp3
n.北京（中华人名共和国首都）,Beijing,[beidʒiŋ],http://sound.yywz123.com/qsbdcword/B/Beijing.mp3
n.加拿大（北美洲）,Canada,['kænədə],http://sound.yywz123.com/qsbdcword/C/Canada.mp3
adj.（冠于信函中的称谓，以示礼貌）亲爱的；int.啊！；adv.深爱地；高价地,dear,[dɪə(r)],http://sound.yywz123.com/qsbdcword/d/dear.mp3
n.英格兰，英国,England,['ɪŋɡlənd],http://sound.yywz123.com/qsbdcword/E/England.mp3
a.高兴的，乐意的,glad,[glæd],http://sound.yywz123.com/qsbdcword/g/glad.mp3
n.家庭作业，课外作业,homework,[ˈhəʊmwɜ:k],http://sound.yywz123.com/qsbdcword/h/homework.mp3
n.日本，日本国,Japan,[dʒə'pæn],http://sound.yywz123.com/qsbdcword/J/Japan.mp3
n.袋鼠（产于澳洲的草食哺乳动物）,kangaroo,[ˌkæŋgəˈru:],http://sound.yywz123.com/qsbdcword/k/kangaroo.mp3
n.狮子,lion,[ˈlaɪən],http://sound.yywz123.com/qsbdcword/l/lion.mp3
vt.满足；遇见；vi.相遇；接触；n.集会,meet,[mi:t],http://sound.yywz123.com/qsbdcword/m/meet.mp3
n.巴黎（法国首都）,Paris,['pærɪs],http://sound.yywz123.com/qsbdcword/P/Paris.mp3
n.晚饭，晚餐,supper,[ˈsʌpə(r)],http://sound.yywz123.com/qsbdcword/s/supper.mp3
n.虎；老虎,tiger,[ˈtaɪgə(r)],http://sound.yywz123.com/qsbdcword/t/tiger.mp3
n.结束；vt.关；结束；vi.关；结束；关闭；adj./adv.近的；紧密的,close,[kləʊz],http://sound.yywz123.com/qsbdcword/c/close.mp3
n.数（字，量），号码，数（值）,number,[ˈnʌmbə(r)],http://sound.yywz123.com/qsbdcword/n/number.mp3
vt.画；拉；vi.拉；拖；n. 平局；抽签,draw,[drɔ:],http://sound.yywz123.com/qsbdcword/d/draw.mp3
adj.向下的； adv.向下； n.绒毛，汗毛； prep.沿着...而下,down,[daʊn],http://sound.yywz123.com/qsbdcword/d/down.mp3
n.手；掌握；协助；vt.支持；交给,hand,[hænd],http://sound.yywz123.com/qsbdcword/h/hand.mp3
adj.好的，上等的；纤细的，精致的；健康的；晴朗的；n.罚款；vt.罚款；澄清,fine,[faɪn],http://sound.yywz123.com/qsbdcword/f/fine.mp3
num.一；pron.一个（只）（表示代替可数的东西）,one,[wʌn],http://sound.yywz123.com/qsbdcword/o/one.mp3
vt.跳跃；使跳跃；vi.跳跃；暴涨；猛增；n.跳跃，跳动；暴涨，猛增,jump,[dʒʌmp],http://sound.yywz123.com/qsbdcword/j/jump.mp3
prep.为，为了；因为；给；对于；关于；当作；conj.因为；由于,for,[fə(r)],http://sound.yywz123.com/qsbdcword/f/for.mp3
pron.这，这个；adj.这...,this,[ðɪs],http://sound.yywz123.com/qsbdcword/t/this.mp3
adj.年老的；旧的；...岁的,old,[əʊld],http://sound.yywz123.com/qsbdcword/o/old.mp3
adj.（美）好；善良的；擅长的；乖；n.善；利益,good,[gʊd],http://sound.yywz123.com/qsbdcword/g/good.mp3
num.三；pron./adj.三（个，只...）,three,[θri:],http://sound.yywz123.com/qsbdcword/t/three.mp3
pron.(主格)我,I,[aɪ],http://sound.yywz123.com/qsbdcword/I/I.mp3
vi.写，写字；写作；vt.写，书写；写信,write,[raɪt],http://sound.yywz123.com/qsbdcword/w/write.mp3
n.树，树木,tree,[tri:],http://sound.yywz123.com/qsbdcword/t/tree.mp3
vt.学习；得知；vi. 学习,learn,[lɜ:n],http://sound.yywz123.com/qsbdcword/l/learn.mp3
num.二，两个；n.两个（人或物）,two,[tu:],http://sound.yywz123.com/qsbdcword/t/two.mp3
n.早上；上午,morning,[ˈmɔ:nɪŋ],http://sound.yywz123.com/qsbdcword/m/morning.mp3
pron.(I的所有格)我的,my,[maɪ],http://sound.yywz123.com/qsbdcword/m/my.mp3
（=I am）我是,I'm,[aɪm],http://sound.yywz123.com/qsbdcword/I/I'm.mp3
adj.新的，陌生的，最近的，不熟悉的,new,[nju:],http://sound.yywz123.com/qsbdcword/n/new.mp3
num.九，九个,nine,[naɪn],http://sound.yywz123.com/qsbdcword/n/nine.mp3
n.铅笔盒,pencil-box,['penslbɒks],http://sound.yywz123.com/qsbdcword/p/pencil-box.mp3
n.飞机；adj.平的；vi.飞行,plane,[pleɪn],http://sound.yywz123.com/qsbdcword/p/plane.mp3
n.男（式）衬衫,shirt,[ʃɜ:t],http://sound.yywz123.com/qsbdcword/s/shirt.mp3
n.邮票，图章；v.盖章,stamp,[stæmp],http://sound.yywz123.com/qsbdcword/s/stamp.mp3
num.六；pron./adj.六(个，只...),six,[sɪks],http://sound.yywz123.com/qsbdcword/s/six.mp3
num.七，七个（人或物）,seven,[ˈsevn],http://sound.yywz123.com/qsbdcword/s/seven.mp3
n.T恤衫,T-shirt,"['ti:,ʃɜ:t]",http://sound.yywz123.com/qsbdcword/T/T-shirt.mp3
num.十，十个,ten,[ten],http://sound.yywz123.com/qsbdcword/t/ten.mp3
adv.在哪里；pron.哪里,where,[weə(r)],http://sound.yywz123.com/qsbdcword/w/where.mp3
pron.你的，你们的,your,[jɔ:(r)],http://sound.yywz123.com/qsbdcword/y/your.mp3
adv.是（用于肯定句前）,yes,[jes],http://sound.yywz123.com/qsbdcword/y/yes.mp3
adj.细的，薄的，瘦的,thin,[θɪn],http://sound.yywz123.com/qsbdcword/t/thin.mp3
是什么（=what is）,what's,[wɒts],http://sound.yywz123.com/qsbdcword/w/what's.mp3
那是（=that is）,that's,[ðæts],http://sound.yywz123.com/qsbdcword/t/that's.mp3
n.中文，中国话；中国人；adj.中国的；中国话的,Chinese,[ˌtʃaɪˈni:z],http://sound.yywz123.com/qsbdcword/C/Chinese.mp3
n.（=daddy）爸爸，爹爹,dad,[dæd],http://sound.yywz123.com/qsbdcword/d/dad.mp3
num.十一，十一个,eleven,[ɪˈlevn],http://sound.yywz123.com/qsbdcword/e/eleven.mp3
n.理由，借口；vt.原谅；为…辩解；使…免去,excuse,[ɪkˈskju:s],http://sound.yywz123.com/qsbdcword/e/excuse.mp3
prep.在…下面；在…以下；adv.在下面；少于,under,[ˈʌndə(r)],http://sound.yywz123.com/qsbdcword/u/under.mp3
vi.坐，就座，坐落；vt.使就座，骑；n.坐,sit,[sɪt],http://sound.yywz123.com/qsbdcword/s/sit.mp3
int.再见 （=good-bye）,goodbye,[ˌgʊdˈbaɪ],http://sound.yywz123.com/qsbdcword/g/goodbye.mp3
int.再见，回头见,bye,[baɪ],http://sound.yywz123.com/qsbdcword/b/bye.mp3
n.星期，周,week,[wi:k],http://sound.yywz123.com/qsbdcword/w/week.mp3
n.时钟，计时器,clock,[klɒk],http://sound.yywz123.com/qsbdcword/c/clock.mp3
adj.十分，非常，很多的，很好的；n.多，许多，重要的事；adv.多，甚，几乎,much,[mʌtʃ],http://sound.yywz123.com/qsbdcword/m/much.mp3
vt.& vi. 阅读；显示；研究；看懂；n. 阅读；读物；读书；adj. 博学的,read,[ri:d],http://sound.yywz123.com/qsbdcword/r/read.mp3
v./aux.做；干；构成否定句，疑问句的助动词,do,[du],http://sound.yywz123.com/qsbdcword/d/do.mp3
（=do not）不做；不,don't,[dəʊnt],http://sound.yywz123.com/qsbdcword/d/don't.mp3
n.水；vt.浇灌；给…饮水；vi.流泪，加水,water,[ˈwɔ:tə(r)],http://sound.yywz123.com/qsbdcword/w/water.mp3
int.（英）（美）喂，你好（用来打招呼或引起注意）,hello,[hə'ləʊ],http://sound.yywz123.com/qsbdcword/h/hello.mp3
n.短上衣；外套,jacket,[ˈdʒækɪt],http://sound.yywz123.com/qsbdcword/j/jacket.mp3
n.答案；钥匙；关键；adj.基本的,key,[ki:],http://sound.yywz123.com/qsbdcword/k/key.mp3
adv.现在；当时；立刻；n.现在；conj.既然,now,[naʊ],http://sound.yywz123.com/qsbdcword/n/now.mp3
int.啊，噢，呀（表示惊讶，恐怖，赞叹等）,oh,[əʊ],http://sound.yywz123.com/qsbdcword/o/oh.mp3
n.机器人,robot,[ˈrəʊbɒt],http://sound.yywz123.com/qsbdcword/r/robot.mp3
n.桌（台）子；表格；vt.提交讨论,table,[ˈteɪbl],http://sound.yywz123.com/qsbdcword/t/table.mp3
n.伯父，叔父，舅父，姑父，姨父,uncle,[ˈʌŋkl],http://sound.yywz123.com/qsbdcword/u/uncle.mp3
n.业余爱好，嗜好，兴趣,hobby,[ˈhɒbi],http://sound.yywz123.com/qsbdcword/h/hobby.mp3
n.伦敦,London,['lʌndən],http://sound.yywz123.com/qsbdcword/L/London.mp3
n.中餐，午饭,lunch,[lʌntʃ],http://sound.yywz123.com/qsbdcword/l/lunch.mp3
n.图书馆，图书室,library,[ˈlaɪbrəri],http://sound.yywz123.com/qsbdcword/l/library.mp3
n.老鼠；胆小怕事的人；鼠标；vi. 捕鼠，窥探；vt.探出,mouse,[maʊs],http://sound.yywz123.com/qsbdcword/m/mouse.mp3
adj.长的,long,[lɒŋ],http://sound.yywz123.com/qsbdcword/l/long.mp3
n.猴子；vi.胡闹，乱弄；vt.嘲弄,monkey,[ˈmʌŋki],http://sound.yywz123.com/qsbdcword/m/monkey.mp3
n.（英式拼法）数学,maths,[mæθs],http://sound.yywz123.com/qsbdcword/m/maths.mp3
num.十九，十九个,nineteen,[ˌnaɪnˈti:n],http://sound.yywz123.com/qsbdcword/n/nineteen.mp3
n.(缩)夫人，太太,Mrs.,[ˈmɪsɪz],http://sound.yywz123.com/qsbdcword/M/Mrs..mp3
n.响声，喧闹声，嘈杂声,noise,[nɔɪz],http://sound.yywz123.com/qsbdcword/n/noise.mp3
adv.仅仅，只不过；adj.唯一的；conj.可是，不过,only,[ˈəʊnli],http://sound.yywz123.com/qsbdcword/o/only.mp3
n.父母，双亲,parents,['peərənts],http://sound.yywz123.com/qsbdcword/p/parents.mp3
n.纸，报纸,paper,[ˈpeɪpə(r)],http://sound.yywz123.com/qsbdcword/p/paper.mp3
vi.跑，奔跑；vt. 管理，经营；运行；参赛；n. 奔跑；赛跑,run,[rʌn],http://sound.yywz123.com/qsbdcword/r/run.mp3
n.男售货员；售货员，推销员,salesman,[ˈseɪlzmən],http://sound.yywz123.com/qsbdcword/s/salesman.mp3
n.乒乓球,pingpong,['pɪŋpɒŋ],http://sound.yywz123.com/qsbdcword/p/pingpong.mp3
n.女售货员，女推销员,saleswoman,[ˈseɪlzmən],http://sound.yywz123.com/qsbdcword/s/saleswoman.mp3
num.十七,seventeen,[ˌsevnˈti:n],http://sound.yywz123.com/qsbdcword/s/seventeen.mp3
num.十六,sixteen,[ˌsɪksˈti:n],http://sound.yywz123.com/qsbdcword/s/sixteen.mp3
vi.唱，唱歌，鸣叫；vt.唱；用诗赞颂；唱着；n. 演唱,sing,[sɪŋ],http://sound.yywz123.com/qsbdcword/s/sing.mp3
n.东京（日本首都）,Tokyo,['təʊkjəʊ],http://sound.yywz123.com/qsbdcword/T/Tokyo.mp3
vi.睡，睡觉；n.睡眠,sleep,[sli:p],http://sound.yywz123.com/qsbdcword/s/sleep.mp3
adv.那么，非常，也，不错；conj.因此，以便,so,[səʊ],http://sound.yywz123.com/qsbdcword/s/so.mp3
num.三十,thirty,[ˈθɜ:ti],http://sound.yywz123.com/qsbdcword/t/thirty.mp3
n.停止，车站，滞留；vi.停止，制止；vt. 停止；堵塞；断绝,stop,[stɒp],http://sound.yywz123.com/qsbdcword/s/stop.mp3
n.书包,schoolbag,['sku:lbæg],http://sound.yywz123.com/qsbdcword/s/schoolbag.mp3
adj.短的；矮的,short,[ʃɔ:t],http://sound.yywz123.com/qsbdcword/s/short.mp3
num.二十,twenty,[ˈtwenti],http://sound.yywz123.com/qsbdcword/t/twenty.mp3
adj.小的，少的；adv.些许地；n.狭小部分,small,[smɔ:l],http://sound.yywz123.com/qsbdcword/s/small.mp3
